,index,prod_class,brand,product_title,price,url
97,97,laptop,Dell,Inspiron i7567-5000BLK,80000.0,http://www.consumerreports.org/products/laptop/dell-inspiron-i7567-5000blk-388640/
98,98,laptop,Dell,XPS 12 2in1,49500.0,http://www.consumerreports.org/products/laptop/dell-xps-12-2in1-385666/
99,99,laptop,Dell,XPS 13 Convertible,135000.0,http://www.consumerreports.org/products/laptop/dell-xps-13-convertible-388659/
100,100,laptop,Dell,XPS 15 Non-Touch,100000.0,http://www.consumerreports.org/products/laptop/dell-xps-15-non-touch-384997/
101,101,laptop,Dell,XPS 15 Touch 6th-Gen,160000.0,http://www.consumerreports.org/products/laptop/dell-xps-15-touch-6th-gen-384998/
102,102,laptop,HP,15-ay013dx,50000.0,http://www.consumerreports.org/products/laptop/hp-15-ay013dx-386445/
103,103,laptop,HP,15-AY103DX,50000.0,http://www.consumerreports.org/products/laptop/hp-15-ay103dx-388643/
104,104,laptop,HP,15-BA061DX,40000.0,http://www.consumerreports.org/products/laptop/hp-15-ba061dx-389340/
105,105,laptop,HP,17-X116DX,48000.0,http://www.consumerreports.org/products/laptop/hp-17-x116dx-388645/
106,106,laptop,HP,ENVY 13-d010nr,72500.0,http://www.consumerreports.org/products/laptop/hp-envy-13-d010nr-384991/
107,107,laptop,HP,ENVY 17t,70000.0,http://www.consumerreports.org/products/laptop/hp-envy-17t-384316/
108,108,laptop,HP,Envy Laptop 15t,110000.0,http://www.consumerreports.org/products/laptop/hp-envy-laptop-15t-387685/
109,109,laptop,HP,ENVY M7-U109DX,105000.0,http://www.consumerreports.org/products/laptop/hp-envy-m7-u109dx-388095/
110,110,laptop,HP,Pavilion 15 AMD,67500.0,http://www.consumerreports.org/products/laptop/hp-pavilion-15-amd-386454/
111,111,laptop,HP,Pavilion 15 Gaming,70000.0,http://www.consumerreports.org/products/laptop/hp-pavilion-15-gaming-386456/
112,112,laptop,HP,Pavilion 15 i5,77000.0,http://www.consumerreports.org/products/laptop/hp-pavilion-15-i5-386455/
113,113,laptop,HP,Pavilion 15-ab220nr,68500.0,http://www.consumerreports.org/products/laptop/hp-pavilion-15-ab220nr-384992/
114,114,laptop,HP,Pavilion 15-bc020nr,89000.0,http://www.consumerreports.org/products/laptop/hp-pavilion-15-bc020nr-387887/
115,115,laptop,HP,Pavilion 17 Gaming,77000.0,http://www.consumerreports.org/products/laptop/hp-pavilion-17-gaming-386457/
116,116,laptop,HP,Pavilion 17-g148dx,38000.0,http://www.consumerreports.org/products/laptop/hp-pavilion-17-g148dx-386109/
117,117,laptop,HP,Pavilion M3-U101DX x360,47500.0,http://www.consumerreports.org/products/laptop/hp-pavilion-m3-u101dx-x360-388646/
118,118,laptop,HP,Pavilion x360 11.6,43000.0,http://www.consumerreports.org/products/laptop/hp-pavilion-x360-11-6-386461/
119,119,laptop,HP,Pavilion x360 13.3,52500.0,http://www.consumerreports.org/products/laptop/hp-pavilion-x360-13-3-386463/
120,120,laptop,HP,Pavilion x360 15.6,53500.0,http://www.consumerreports.org/products/laptop/hp-pavilion-x360-15-6-386462/
121,121,laptop,HP,Pavilion x360-11t,33000.0,http://www.consumerreports.org/products/laptop/hp-pavilion-x360-11t-386338/
122,122,laptop,HP,Pavilion x360-13t,52500.0,http://www.consumerreports.org/products/laptop/hp-pavilion-x360-13t-386339/
123,123,laptop,HP,Spectre 13-v011dx,110000.0,http://www.consumerreports.org/products/laptop/hp-spectre-13-v011dx-386110/
124,124,laptop,HP,Spectre 15-BL012DX x360,150000.0,http://www.consumerreports.org/products/laptop/hp-spectre-15-bl012dx-x360-388638/
125,125,laptop,HP,Spectre x360 13-4103dx,97500.0,http://www.consumerreports.org/products/laptop/hp-spectre-x360-13-4103dx-384989/
126,126,laptop,HP,Spectre x360 13-AC013DX,120000.0,http://www.consumerreports.org/products/laptop/hp-spectre-x360-13-ac013dx-388767/
127,127,laptop,HP,Spectre x360 13t,117000.0,http://www.consumerreports.org/products/laptop/hp-spectre-x360-13t-387888/
128,128,laptop,HP,Spectre x360-15t,115000.0,http://www.consumerreports.org/products/laptop/hp-spectre-x360-15t-385668/
129,129,laptop,HP,Stream 14-ax010nr,22000.0,http://www.consumerreports.org/products/laptop/hp-stream-14-ax010nr-387686/
130,130,laptop,HP,x2 10-p020nr,26500.0,http://www.consumerreports.org/products/laptop/hp-x2-10-p020nr-387886/
131,131,laptop,Lenovo,310-15ABR,40000.0,http://www.consumerreports.org/products/laptop/lenovo-310-15abr-388644/
132,132,laptop,Lenovo,Flex 3 11,23000.0,http://www.consumerreports.org/products/laptop/lenovo-flex-3-11-379139/
133,133,laptop,Lenovo,Flex 4,68000.0,http://www.consumerreports.org/products/laptop/lenovo-flex-4-386342/
134,134,laptop,Lenovo,Flex 5 15,100000.0,http://www.consumerreports.org/products/laptop/lenovo-flex-5-15-389338/
135,135,laptop,Lenovo,G70-80Q5004QUS,33000.0,http://www.consumerreports.org/products/laptop/lenovo-g70-80q5004qus-385669/
136,136,laptop,Lenovo,IdeaPad 110,31000.0,http://www.consumerreports.org/products/laptop/lenovo-ideapad-110-389339/
137,137,laptop,Lenovo,Ideapad 500S,75000.0,http://www.consumerreports.org/products/laptop/lenovo-ideapad-500s-385671/
138,138,laptop,Lenovo,Ideapad 510s,69000.0,http://www.consumerreports.org/products/laptop/lenovo-ideapad-510s-386297/
139,139,laptop,Lenovo,"Ideapad 700 15""",85000.0,http://www.consumerreports.org/products/laptop/lenovo-ideapad-700-15-385672/
140,140,laptop,Lenovo,"Ideapad 700 17""",110000.0,http://www.consumerreports.org/products/laptop/lenovo-ideapad-700-17-385673/
141,141,laptop,Lenovo,Ideapad Miix 700,65000.0,http://www.consumerreports.org/products/laptop/lenovo-ideapad-miix-700-385849/
142,142,laptop,Lenovo,Ideapad Yoga 700,70000.0,http://www.consumerreports.org/products/laptop/lenovo-ideapad-yoga-700-385674/
143,143,laptop,Lenovo,ThinkPad X1 Tablet,147500.0,http://www.consumerreports.org/products/laptop/lenovo-thinkpad-x1-tablet-386111/
144,144,laptop,Lenovo,ThinkPad X260,117500.0,http://www.consumerreports.org/products/laptop/lenovo-thinkpad-x260-386344/
145,145,laptop,Lenovo,"Yoga 710 14""",100000.0,http://www.consumerreports.org/products/laptop/lenovo-yoga-710-14-386361/
146,146,laptop,Lenovo,"Yoga 710 15""",98000.0,http://www.consumerreports.org/products/laptop/lenovo-yoga-710-15-386362/
147,147,laptop,Lenovo,Yoga 710 80V4000GUS,80500.0,http://www.consumerreports.org/products/laptop/lenovo-yoga-710-80v4000gus-387890/
148,148,laptop,Lenovo,Yoga 710 80V6000PUS,70000.0,http://www.consumerreports.org/products/laptop/lenovo-yoga-710-80v6000pus-387891/
149,149,laptop,Lenovo,Yoga 720-13IKB,80500.0,http://www.consumerreports.org/products/laptop/lenovo-yoga-720-13ikb-389336/
150,150,laptop,Lenovo,Yoga 720-15IKB,100000.0,http://www.consumerreports.org/products/laptop/lenovo-yoga-720-15ikb-389337/
151,151,laptop,Lenovo,Yoga 900S,110000.0,http://www.consumerreports.org/products/laptop/lenovo-yoga-900s-386282/
152,152,laptop,Lenovo,Yoga 910,111500.0,http://www.consumerreports.org/products/laptop/lenovo-yoga-910-387892/
153,153,laptop,Lenovo,Z70- 80FG00DCUS,93500.0,http://www.consumerreports.org/products/laptop/lenovo-z70-80fg00dcus-385906/
154,154,laptop,LG,Gram 13 - Touchscreen,110000.0,http://www.consumerreports.org/products/laptop/lg-gram-13-touchscreen-388777/
155,155,laptop,LG,gram 13Z950,80000.0,http://www.consumerreports.org/products/laptop/lg-gram-13z950-384803/
156,156,laptop,LG,Gram 14 - Touchscreen,116500.0,http://www.consumerreports.org/products/laptop/lg-gram-14-touchscreen-388778/
157,157,laptop,LG,Gram 15 - Touchscreen,115000.0,http://www.consumerreports.org/products/laptop/lg-gram-15-touchscreen-388773/
158,158,laptop,Microsoft,Surface 3,39500.0,http://www.consumerreports.org/products/laptop/microsoft-surface-3-384272/
159,159,laptop,Microsoft,Surface Book (512GB),280000.0,http://www.consumerreports.org/products/laptop/microsoft-surface-book-512gb-388051/
160,160,laptop,Microsoft,"Surface Laptop (Core i5, 128GB)",100000.0,http://www.consumerreports.org/products/laptop/microsoft-surface-389343/
161,161,laptop,Microsoft,"Surface Laptop (Core i5, 256GB)",130000.0,http://www.consumerreports.org/products/laptop/microsoft-surface-laptop-core-i5-256gb-392723/
162,162,laptop,Microsoft,Surface Pro 3,83000.0,http://www.consumerreports.org/products/laptop/microsoft-surface-pro-3-272591/
