brand,model,prod_class,prod_short_descr,has_reviews,url,reported_exceptions
LG,LG gram 15Z960 computer,laptop,"A 15.6-inch laptop tested with Windows 10 Home, an Intel Core i5-6200U 2.3GHz processor, 8GB of memory, Intel HD Graphics 520 graphics, and a 256GB solid state drive.",False,http://www.consumerreports.org/products/laptop/lg-gram-15z-960-386112/user-reviews#user-reviews,writeRvwMsg Step: : <class 'selenium.common.exceptions.NoSuchElementException'>/n
Samsung,Samsung ATIV Book 9 NP930X2K-K02US computer,laptop,"A 12.2-inch laptop tested with Windows 8.1, an Intel Core M-5Y31 0.9GHz processor, 4GB of memory, Intel HD Graphics 5300 graphics, and a 128GB solid state drive.",False,http://www.consumerreports.org/products/laptop/samsung-ativ-book-9-np930x2k-k02us-371599/user-reviews#user-reviews,
Samsung,Samsung Notebook 7 740U5LE computer,laptop,"A 15.6-inch convertible laptop tested with Windows 10 Home, an Intel Core i7-6500U 2.5GHz processor, 12GB of memory, Nvidia GeForce 940MX/Intel HD Graphics 520 graphics, a touchscreen, and a 1TB hard drive.",False,http://www.consumerreports.org/products/laptop/samsung-notebook-7-740u5le-387110/user-reviews#user-reviews,writeRvwMsg Step: : <class 'selenium.common.exceptions.NoSuchElementException'>/n
Samsung,Samsung Notebook 9 spin NP940X3L-K01US computer,laptop,"A 13.3-inch convertible laptop tested with Windows 10 Home, an Intel Core i7-6500U 2.5GHz processor, 8GB of memory, Intel HD Graphics 520 graphics, a touchscreen, and a 256GB solid state drive.",False,http://www.consumerreports.org/products/laptop/samsung-notebook-9-spin-np940x3l-k01us-385106/user-reviews#user-reviews,
Vaio,Vaio Z computer,laptop,"A 13.3-inch laptop tested with Windows 10 Home, an Intel Core i5-6267U 2.9GHz processor, 8GB of memory, Intel Iris Graphics 550 graphics, and a 256GB solid state drive.",False,http://www.consumerreports.org/products/laptop/vaio-z-386114/user-reviews#user-reviews,
Vaio,Vaio Z Canvas computer,laptop,"A 12.3-inch detachable laptop tested with Windows 10 Pro, an Intel Core i7-4770HQ 2.2GHz processor, 16GB of memory, Intel Iris Pro Graphics 5200 graphics, a touchscreen, and a 512GB solid state drive.",False,http://www.consumerreports.org/products/laptop/vaio-z-canvas-385680/user-reviews#user-reviews,
Vaio,Vaio Z Flip computer,laptop,"A 13.3-inch convertible laptop tested with Windows 10 Home, an Intel Core i5-6267U 2.9GHz processor, 8GB of memory, Intel Iris Graphics 550 graphics, a touchscreen, and a 256GB solid state drive.",False,http://www.consumerreports.org/products/laptop/vaio-flip-z-385731/user-reviews#user-reviews,
Acer,Acer Aspire E5-575T-3678 computer,laptop,"A 15.6-inch laptop tested with Windows 10 Home, an Intel Core i3-6006U 2GHz processor, 8GB of memory, Intel HD Graphics 520 graphics, a touchscreen, and a 1TB hard drive.",False,http://www.consumerreports.org/products/laptop/acer-aspire-e5-575t-3678-388641/user-reviews#user-reviews,writeRvwMsg Step: : <class 'selenium.common.exceptions.NoSuchElementException'>/n
Acer,Acer Aspire ES 15 E5-573-35JA computer,laptop,"A 15.6-inch laptop tested with Windows 10 Home, an Intel Core i3-5005U 2GHz processor, 4GB of memory, Intel HD Graphics 5500 graphics, and a 500GB hard drive.",False,http://www.consumerreports.org/products/laptop/acer-aspire-es-15-e5-573-35ja-386283/user-reviews#user-reviews,writeRvwMsg Step: : <class 'selenium.common.exceptions.NoSuchElementException'>/n
Acer,Acer Aspire ES1-533-C55P computer,laptop,"A 15.6-inch laptop tested with Windows 10 Home, an Intel Celeron N3350 1.1GHz processor, 4GB of memory, Intel HD Graphics 500 graphics, and a 500GB hard drive.",False,http://www.consumerreports.org/products/laptop/acer-aspire-es1-533-c55p-388642/user-reviews#user-reviews,
Acer,Acer Aspire F5-573-505W computer,laptop,"A 15.6-inch laptop tested with Windows 10 Home, an Intel Core i5-6200U 2.3GHz processor, 8GB of memory, Intel HD Graphics 520 graphics, and a 1TB hard drive.",False,http://www.consumerreports.org/products/laptop/acer-aspire-f5-573-505w-386465/user-reviews#user-reviews,writeRvwMsg Step: : <class 'selenium.common.exceptions.NoSuchElementException'>/n
Acer,Acer Aspire Nitro VN7- 592G-77 computer,laptop,"A 15.6-inch laptop tested with Windows 10 Home, an Intel Core i7-6700HQ 2.6GHz processor, 16GB of memory, Nvidia GeForce GTX 960M/Intel HD Graphics 530 graphics, and a 1TB hard drive and 256GB solid state drive.",False,http://www.consumerreports.org/products/laptop/acer-aspire-nitro-vn7-592g-77-386284/user-reviews#user-reviews,writeRvwMsg Step: : <class 'selenium.common.exceptions.NoSuchElementException'>/n
Acer,Acer Aspire R3-131T-P6G7 computer,laptop,"An 11.6-inch convertible laptop tested with Windows 10 Home, an Intel Pentium N3710 1.6GHz processor, 4GB of memory, Intel HD Graphics 405 graphics, a touchscreen, and a 64GB solid state drive.",False,http://www.consumerreports.org/products/laptop/acer-aspire-r3-131t-p6g7-387266/user-reviews#user-reviews,writeRvwMsg Step: : <class 'selenium.common.exceptions.NoSuchElementException'>/n
Acer,Acer Aspire S 13 S5-371T-76CY computer,laptop,"A 13.3-inch laptop tested with Windows 10 Home, an Intel Core i5-6500U 2.5GHz processor, 8GB of memory, Intel HD Graphics 520 graphics, a touchscreen, and a 512GB solid state drive.",False,http://www.consumerreports.org/products/laptop/acer-aspire-s-13-s5-371t-76cy-387895/user-reviews#user-reviews,
Acer,Acer Aspire S5-371-52JR computer,laptop,"A 13.3-inch laptop tested with Windows 10 Home, an Intel Core i5-6200U 2.3GHz processor, 8GB of memory, Intel HD Graphics 520 graphics, and a 256GB solid state drive.",False,http://www.consumerreports.org/products/laptop/acer-aspire-s5-371-52jr-386553/user-reviews#user-reviews,
Acer,Acer Aspire Switch 10 SW5-015-198P computer,laptop,"A 10.1-inch detachable laptop tested with Windows 10 Home, an Intel Atom Z3735F 1.33GHz processor, 2GB of memory, Intel HD Graphics graphics, a touchscreen, and a 64GB solid state drive.",False,http://www.consumerreports.org/products/laptop/acer-aspire-switch-10-sw5-015-198p-386345/user-reviews#user-reviews,
Acer,Acer Aspire V5-591G-55PV computer,laptop,"A 15.6-inch laptop tested with Windows 10 Home, an Intel Core i5-6300HQ 2.3GHz processor, 8GB of memory, Nvidia GeForce GTX 950M/Intel HD Graphics 530 graphics, and a 256GB solid state drive.",False,http://www.consumerreports.org/products/laptop/acer-aspire-v5-591g-55pv-387108/user-reviews#user-reviews,
Acer,Acer Spin 1 SP111-31-C2W3 computer,laptop,"An 11.6-inch convertible laptop tested with Windows 10 Home, an Intel Celeron N3350 1.1GHz processor, 4GB of memory, Intel HD Graphics graphics, a touchscreen, and a 32GB solid state drive.",False,http://www.consumerreports.org/products/laptop/acer-spin-1-sp111-31-c2w3-388639/user-reviews#user-reviews,
Acer,Acer Swift 7 SF713-51-M90J computer,laptop,"A 13.3-inch laptop tested with Windows 10 Home, an Intel Core i5-7Y54 1.2GHz processor, 8GB of memory, Intel HD Graphics 615 graphics, and a 256GB solid state drive.",False,http://www.consumerreports.org/products/laptop/acer-swift-7-sf713-51-m90j-387922/user-reviews#user-reviews,
Acer,Acer Switch Alpha 12 SA5-271-594J computer,laptop,"A 12-inch detachable laptop tested with Windows 10 Home, an Intel Core i5-6200U 2.3GHz processor, 8GB of memory, Intel HD Graphics 520 graphics, a touchscreen, and a 256GB solid state drive.",False,http://www.consumerreports.org/products/laptop/acer-switch-alpha-12-sa5-271-594j-386446/user-reviews#user-reviews,
Apple,Apple MacBook 12-inch MF855LL/A computer,laptop,"A 12-inch laptop tested with OS X Yosemite 10.10, an Intel Core M 1.1GHz processor, 8GB of memory, Intel HD Graphics 5300 graphics, and a 256GB solid state drive.",False,http://www.consumerreports.org/products/laptop/apple-macbook-12-inch-mf855ll-a-377002/user-reviews#user-reviews,writeRvwMsg Step: : <class 'selenium.common.exceptions.NoSuchElementException'>/n
Apple,Apple MacBook 12-inch MLHE2LL/A computer,laptop,"A 12-inch laptop tested with OS X El Capitan 10.11, an Intel Core m3 1.1GHz processor, 8GB of memory, Intel HD Graphics 515 graphics, and a 256GB solid state drive.",False,http://www.consumerreports.org/products/laptop/apple-macbook-12-inch-mlhe2ll-a-386115/user-reviews#user-reviews,writeRvwMsg Step: : <class 'selenium.common.exceptions.NoSuchElementException'>/n
Apple,Apple MacBook 12-inch MNYH2LL/A computer,laptop,"A 12-inch laptop tested with macOS Sierra 10.12, an Intel Core m3 1.2GHz processor, 8GB of memory, Intel HD Graphics 615 graphics, and a 256GB solid state drive.",False,http://www.consumerreports.org/products/laptop/apple-macbook-12-inch-392572/user-reviews#user-reviews,
Apple,Apple MacBook Pro 13-inch MLL42LL/A computer,laptop,"A 13.3-inch laptop tested with macOS Sierra 10.12, an Intel Core i5 2GHz processor, 8GB of memory, Intel Iris Graphics 540 graphics, and a 256GB solid state drive.",False,http://www.consumerreports.org/products/laptop/apple-macbook-pro-13-inch-mll42ll-a-388052/user-reviews#user-reviews,
Apple,Apple MacBook Pro 13-inch MPXR2LL/A computer,laptop,"A 13.3-inch laptop tested with macOS Sierra 10.12, an Intel Core i5 2.3GHz processor, 8GB of memory, Intel Iris Plus Graphics 640 graphics, and a 128GB solid state drive.",False,http://www.consumerreports.org/products/laptop/apple-macbook-pro-13-inch-no-touch-bar-392573/user-reviews#user-reviews,writeRvwMsg Step: : <class 'selenium.common.exceptions.NoSuchElementException'>/n
Asus,Asus Q304UA-BHI5T11 computer,laptop,"A 13.3-inch convertible laptop tested with Windows 10 Home, an Intel Core i5-7200U 2.5GHz processor, 6GB of memory, Intel HD Graphics 620 graphics, a touchscreen, and a 1TB hard drive.",False,http://www.consumerreports.org/products/laptop/asus-q304ua-bhi5t11-387894/user-reviews#user-reviews,
