prod_class,brand,product_title,price,url
laptop,Acer,Aspire Switch 10 SW5-015-198P,$350.00,http://www.consumerreports.org/products/laptop/acer-aspire-switch-10-sw5-015-198p-386345/overview/
laptop,Acer,Aspire V5-591G-55PV,$800.00,http://www.consumerreports.org/products/laptop/acer-aspire-v5-591g-55pv-387108/overview/
laptop,Acer,Spin 1 SP111-31-C2W3,$250.00,http://www.consumerreports.org/products/laptop/acer-spin-1-sp111-31-c2w3-388639/overview/
laptop,Acer,Swift 7 SF713-51-M90J,"$1,000.00",http://www.consumerreports.org/products/laptop/acer-swift-7-sf713-51-m90j-387922/overview/
laptop,Acer,Switch Alpha 12 SA5-271-594J,$700.00,http://www.consumerreports.org/products/laptop/acer-switch-alpha-12-sa5-271-594j-386446/overview/
laptop,Apple,MacBook 12-inch MF855LL/A,"$1,300.00",http://www.consumerreports.org/products/laptop/apple-macbook-12-inch-mf855ll-a-377002/overview/
laptop,Apple,MacBook 12-inch MLHE2LL/A,"$1,300.00",http://www.consumerreports.org/products/laptop/apple-macbook-12-inch-mlhe2ll-a-386115/overview/
laptop,Apple,MacBook 12-inch MNYH2LL/A,"$1,300.00",http://www.consumerreports.org/products/laptop/apple-macbook-12-inch-392572/overview/
laptop,Apple,MacBook Air 11-inch MJVM2LL/A,$900.00,http://www.consumerreports.org/products/laptop/apple-macbook-air-11-inch-mjvm2ll-a-374085/overview/
laptop,Apple,MacBook Pro 13-inch MLH12LL/A,"$1,800.00",http://www.consumerreports.org/products/laptop/apple-macbook-pro-13-inch-mlh12ll-a-388053/overview/
laptop,Apple,MacBook Pro 13-inch MLL42LL/A,"$1,300.00",http://www.consumerreports.org/products/laptop/apple-macbook-pro-13-inch-mll42ll-a-388052/overview/
laptop,Apple,MacBook Pro 13-inch MPXR2LL/A,"$1,300.00",http://www.consumerreports.org/products/laptop/apple-macbook-pro-13-inch-no-touch-bar-392573/overview/
laptop,Apple,MacBook Pro 15-inch MLH32LL/A,"$2,400.00",http://www.consumerreports.org/products/laptop/apple-macbook-pro-15-inch-mlh32ll-a-388054/overview/
