"","brand","model","prod_class","url","Analog_surround_sound_out","Battery_capacity","Blu_ray_or_DVD","Blu_ray_reader","Built_in_microphone","Built_in_webcam","Depth","Digital_video_out","Display_size","DisplayPort_video_out","DVI_video_out","Energy_Star","EPEAT_level","Facial_recognition","Fingerprint_reader","Free_memory_slot","Gigabit_Ethernet","Hand_gesture_control","HDMI_output","HDMI_video_in","HDMI_video_out","Height","LCD_resolution","Memory","Memory_card_reader","MS_Memory_Stick_reader","Multitouch_touchpad","Number_of_free_USB_ports","Number_of_speakers","Number_of_USB_ports","Operating_system_as_tested_","Optical_digital_audio_out","Optical_drive","Processor","SD/MMC_reader","Storage","Suitable_for_gaming","Tech_support_length","Thunderbolt_port","Touchpad","USB_sleep_and_charge","VGA_video_out","Video_adapter","Video_memory","Voice_command","Warranty_length","Width","WiFi","WiFi_type","Wireless_keyboard","Wireless_mouse","xD_reader","Has_Facial_recognition","Has_FingerPrintReader"
"204","Lenovo","Ideapad 510s computer","laptop","https://www.consumerreports.org/products/laptop/lenovo-ideapad-510s-386297/specs",NA,45,"None",NA,NA,NA,9.2,"Yes",14,NA,"No","Yes","","No","No",NA,"1","No","Yes",NA,NA,0.9,"1920 x 1080",8,"Yes",NA,NA,NA,NA,3,"Windows 10 Home",NA,"None","Intel Core i5-6200U 2.3GHz",NA,1000,NA,12,"0",NA,"Yes","No","AMD Radeon R7 M460/Intel HD Graphics 520",2048,NA,12,13.2,NA,"802.11ac",NA,NA,NA,0,0
"205","Lenovo","Ideapad 700 15"" computer","laptop","https://www.consumerreports.org/products/laptop/lenovo-ideapad-700-15-385672/specs",NA,45,"D",NA,NA,NA,10.4,"Yes",15.6,NA,"No","Yes","","No","No",NA,"1","No","Yes",NA,NA,1,"1920 x 1080",8,"Yes",NA,NA,NA,NA,3,"Windows 10 Home",NA,"CD/DVD burner","Intel Core i5-6300HQ 2.3GHz",NA,500,NA,12,"0",NA,"No","No","Nvidia GeForce 950M/Intel HD Graphics 530",1024,NA,12,15.1,NA,"802.11ac",NA,NA,NA,0,0
"206","Lenovo","Ideapad 700 17"" computer","laptop","https://www.consumerreports.org/products/laptop/lenovo-ideapad-700-17-385673/specs",NA,45,"D",NA,NA,NA,11.2,"Yes",17.3,NA,"No","Yes","","No","No",NA,"1","No","Yes",NA,NA,1.1,"1920 x 1080",8,"Yes",NA,NA,NA,NA,3,"Windows 10 Home",NA,"CD/DVD burner","Intel Core i7-6700HQ 2.6GHz",NA,256,NA,12,"0",NA,"No","No","Nvidia GeForce 940M/Intel HD Graphics 530",2048,NA,12,16.4,NA,"802.11ac",NA,NA,NA,0,0
"207","Lenovo","Ideapad Miix 310 computer","laptop","https://www.consumerreports.org/products/laptop/lenovo-ideapad-miix-310-387117/specs",NA,25,"None",NA,NA,NA,7.2,"Yes",10.1,NA,"No","Yes","Silver","No","No",NA,"0","No","Yes",NA,NA,0.8,"1280 x 800",2,"Yes",NA,NA,NA,NA,3,"Windows 10 Home",NA,"None","Intel Atom Z8350 1.44GHz",NA,64,NA,12,"0",NA,"No","No","Intel HD Graphics 400",NA,NA,12,10.1,NA,"802.11n",NA,NA,NA,0,0
"208","Lenovo","Ideapad Miix 700 computer","laptop","https://www.consumerreports.org/products/laptop/lenovo-ideapad-miix-700-385849/specs",NA,41,"None",NA,NA,NA,8.4,"Yes",12,NA,"No","No","","No","No",NA,"0","No","Yes",NA,NA,0.6,"2160 x 1440",4,"Yes",NA,NA,NA,NA,2,"Windows 10 Home",NA,"None","Intel Core m3-6Y30 0.9GHz",NA,64,NA,12,"0",NA,"No","No","Intel HD Graphics 515",NA,NA,12,11.5,NA,"802.11ac",NA,NA,NA,0,0
"209","Lenovo","Ideapad Y700 80NU000UUS computer","laptop","https://www.consumerreports.org/products/laptop/lenovo-ideapad-y700-80nu000sus-386451/specs",NA,45,"None",NA,NA,NA,10.1,"Yes",14,NA,"No","No","","No","No",NA,"1","No","Yes",NA,NA,1.1,"1920 x 1080",8,"Yes",NA,NA,NA,NA,3,"Windows 10 Home",NA,"None","Intel Core i7-6700HQ 2.6GHz",NA,628,NA,12,"0",NA,"No","No","AMD Radeon R9 M375/Intel HD Graphics 530",2048,NA,12,13.8,NA,"802.11ac",NA,NA,NA,0,0
"210","Lenovo","Ideapad Y700 80NW000PUS computer","laptop","https://www.consumerreports.org/products/laptop/lenovo-ideapad-y700-80nw000pus-386453/specs",NA,60,"D",NA,NA,NA,10.8,"Yes",15.6,NA,"No","Yes","","No","No",NA,"1","No","Yes",NA,NA,1.2,"1920 x 1080",8,"Yes",NA,NA,NA,NA,3,"Windows 10 Home",NA,"CD/DVD burner","Intel Core i7-6700HQ 2.6GHz",NA,1000,NA,12,"0",NA,"Yes","No","NVIDIA GeForce GTX 960M/Intel HD Graphics 530",4096,NA,12,15.2,NA,"802.11ac",NA,NA,NA,0,0
"211","Lenovo","Ideapad Y700 80Q0008WUS computer","laptop","https://www.consumerreports.org/products/laptop/lenovo-ideapad-y700-80q0008wus-386452/specs",NA,60,"D",NA,NA,NA,11.9,"Yes",17.3,NA,"No","Yes","","No","No",NA,"1","No","Yes",NA,NA,1.3,"1920 x 1080",8,"Yes",NA,NA,NA,NA,3,"Windows 10 Home",NA,"CD/DVD burner","Intel Core i7-6700HQ 2.6GHz",NA,256,NA,12,"0",NA,"No","No","Nvidia GeForce 960M/Intel HD Graphics 530",4096,NA,12,16.6,NA,"802.11ac",NA,NA,NA,0,0
"212","Lenovo","Ideapad Yoga 700 computer","laptop","https://www.consumerreports.org/products/laptop/lenovo-ideapad-yoga-700-385674/specs",NA,42,"None",NA,NA,NA,7.8,"Yes",11.6,NA,"No","Yes","","No","No",NA,"0","No","Yes",NA,NA,0.6,"1920 x 1080",8,"Yes",NA,NA,NA,NA,2,"Windows 10 Home",NA,"None","Intel Core m5-6Y54 1.1GHz",NA,256,NA,12,"0",NA,"No","No","Intel HD Graphics 515",NA,NA,12,11.4,NA,"802.11ac",NA,NA,NA,0,0
"213","Lenovo","N22 80SF0000US computer","chromebooks","https://www.consumerreports.org/products/chromebooks/lenovo-n22-80sf0000us-386441/specs",NA,NA,NA,NA,NA,"Yes",8.3,NA,NA,NA,NA,"Yes","Silver",NA,NA,NA,"0",NA,"Yes",NA,NA,0.9,"1366 x 768",2,"Yes",NA,"Yes",NA,NA,2,"Chrome OS 51.0.2704.79",NA,NA,"Celeron N3050",NA,16,NA,12,"0",NA,NA,NA,"Intel HD Graphics",NA,NA,12,11.8,"Yes",NA,NA,NA,NA,0,0
