"","X","index","prod_class","brand","product_title","price","url","url2"
"75",74,74,"laptop","Apple","MacBook Pro 13-inch MPXR2LL/A",1300,"http://www.consumerreports.org/products/laptop/apple-macbook-pro-13-inch-no-touch-bar-392573/","https://www.consumerreports.org/products/laptop/apple-macbook-pro-13-inch-no-touch-bar-392573/specs"
"76",75,75,"laptop","Apple","MacBook Pro 15-inch MLH32LL/A",2400,"http://www.consumerreports.org/products/laptop/apple-macbook-pro-15-inch-mlh32ll-a-388054/","https://www.consumerreports.org/products/laptop/apple-macbook-pro-15-inch-mlh32ll-a-388054/specs"
"77",76,76,"laptop","Asus","Q304UA-BHI5T11",650,"http://www.consumerreports.org/products/laptop/asus-q304ua-bhi5t11-387894/","https://www.consumerreports.org/products/laptop/asus-q304ua-bhi5t11-387894/specs"
"78",77,77,"laptop","Asus","Q324UA-BHI7T17",1100,"http://www.consumerreports.org/products/laptop/asus-q324ua-bhi7t17-387893/","https://www.consumerreports.org/products/laptop/asus-q324ua-bhi7t17-387893/specs"
"79",78,78,"laptop","Asus","Q524UQ-BBI7T14",880,"http://www.consumerreports.org/products/laptop/asus-q524uq-bbi7t14-386679/","https://www.consumerreports.org/products/laptop/asus-q524uq-bbi7t14-386679/specs"
"80",79,79,"laptop","Asus","Q524UQ-BHI7T15",1000,"http://www.consumerreports.org/products/laptop/asus-q524uq-bhi7t15-388948/","https://www.consumerreports.org/products/laptop/asus-q524uq-bhi7t15-388948/specs"
"81",80,80,"laptop","Asus","Transformer Book T300CHI-F1-DB",465,"http://www.consumerreports.org/products/laptop/asus-transformer-book-t300chi-f1-db-381372/","https://www.consumerreports.org/products/laptop/asus-transformer-book-t300chi-f1-db-381372/specs"
"82",81,81,"laptop","Asus","VivoBook E200HA-US01",200,"http://www.consumerreports.org/products/laptop/asus-vivobook-e200ha-us01-385911/","https://www.consumerreports.org/products/laptop/asus-vivobook-e200ha-us01-385911/specs"
"83",82,82,"laptop","Asus","VivoBook Pro N552VX",1300,"http://www.consumerreports.org/products/laptop/asus-vivobook-pro-n552vx-387457/","https://www.consumerreports.org/products/laptop/asus-vivobook-pro-n552vx-387457/specs"
"84",83,83,"laptop","Dell","Inspiron 11 3000",180,"http://www.consumerreports.org/products/laptop/dell-inspiron-11-3000-385665/","https://www.consumerreports.org/products/laptop/dell-inspiron-11-3000-385665/specs"
