brand,model,prod_class,spec_label,spec_value,url
Acer,Aspire One Cloudbook AO1-131-C9PM computer,laptop,USB_sleep_and_charge,No,https://www.consumerreports.org/products/laptop/acer-aspire-one-cloudbook-ao1-131-c9pm-384806/specs
Acer,Aspire One Cloudbook AO1-131-C9PM computer,laptop,Thunderbolt_port,No,https://www.consumerreports.org/products/laptop/acer-aspire-one-cloudbook-ao1-131-c9pm-384806/specs
Acer,Aspire One Cloudbook AO1-131-C9PM computer,laptop,Digital_video_out,Yes,https://www.consumerreports.org/products/laptop/acer-aspire-one-cloudbook-ao1-131-c9pm-384806/specs
Acer,Aspire One Cloudbook AO1-131-C9PM computer,laptop,Number_of_USB_ports,2,https://www.consumerreports.org/products/laptop/acer-aspire-one-cloudbook-ao1-131-c9pm-384806/specs
Acer,Aspire One Cloudbook AO1-131-C9PM computer,laptop,Gigabit_Ethernet,No,https://www.consumerreports.org/products/laptop/acer-aspire-one-cloudbook-ao1-131-c9pm-384806/specs
Acer,Aspire One Cloudbook AO1-131-C9PM computer,laptop,VGA_video_out,No,https://www.consumerreports.org/products/laptop/acer-aspire-one-cloudbook-ao1-131-c9pm-384806/specs
Acer,Aspire One Cloudbook AO1-131-C9PM computer,laptop,DVI_video_out,No,https://www.consumerreports.org/products/laptop/acer-aspire-one-cloudbook-ao1-131-c9pm-384806/specs
Acer,Aspire One Cloudbook AO1-131-C9PM computer,laptop,HDMI_output,Yes,https://www.consumerreports.org/products/laptop/acer-aspire-one-cloudbook-ao1-131-c9pm-384806/specs
Acer,Aspire R5-571T-57Z0 computer,laptop,Display_size,15.6,https://www.consumerreports.org/products/laptop/acer-aspire-r5-571t-57z0-388093/specs
Acer,Aspire R5-571T-57Z0 computer,laptop,Operating_system_as_tested_,Windows 10 Home,https://www.consumerreports.org/products/laptop/acer-aspire-r5-571t-57z0-388093/specs
Acer,Aspire R5-571T-57Z0 computer,laptop,Processor,Intel Core i7-7200U 2.5GHz,https://www.consumerreports.org/products/laptop/acer-aspire-r5-571t-57z0-388093/specs
Acer,Aspire R5-571T-57Z0 computer,laptop,Memory,8,https://www.consumerreports.org/products/laptop/acer-aspire-r5-571t-57z0-388093/specs
Acer,Aspire R5-571T-57Z0 computer,laptop,Storage,1000,https://www.consumerreports.org/products/laptop/acer-aspire-r5-571t-57z0-388093/specs
Acer,Aspire R5-571T-57Z0 computer,laptop,Video_memory,,https://www.consumerreports.org/products/laptop/acer-aspire-r5-571t-57z0-388093/specs
Acer,Aspire R5-571T-57Z0 computer,laptop,LCD_resolution,1920 x 1080,https://www.consumerreports.org/products/laptop/acer-aspire-r5-571t-57z0-388093/specs
Acer,Aspire R5-571T-57Z0 computer,laptop,Video_adapter,Intel HD Graphics 620,https://www.consumerreports.org/products/laptop/acer-aspire-r5-571t-57z0-388093/specs
Acer,Aspire R5-571T-57Z0 computer,laptop,Optical_drive,None,https://www.consumerreports.org/products/laptop/acer-aspire-r5-571t-57z0-388093/specs
